School,Nickname,City,State/Province,Conference,Note
Holy Names University,Hawks,Oakland,California,Pacific West Conference,
Humboldt State University,Lumberjacks,Arcata,California,California Collegiate Athletic Association,
University of Illinois at Springfield,Prairie Stars,Springfield,Illinois,Great Lakes Valley Conference,
University of Indianapolis,Greyhounds,Indianapolis,Indiana,Great Lakes Valley Conference,
Kentucky Wesleyan College,Panthers,Owensboro,Kentucky,Great Midwest Athletic Conference,
King University,Tornado,Bristol,Tennessee,Conference Carolinas,
Lake Erie College,Storm,Painesville,Ohio,Great Midwest Athletic Conference,
Lander University,Bearcats,Greenwood,South Carolina,Peach Belt Conference,
Le Moyne College,Dolphins,Syracuse,New York,Northeast-10 Conference,
Lee University,Flames,Cleveland,Tennessee,Gulf South Conference,
Lees–McRae College,Bobcats,Banner Elk,North Carolina,Conference Carolinas,
Lenoir–Rhyne University,Bears,Hickory,North Carolina,South Atlantic Conference,
Lewis University,Flyers,Romeoville,Illinois,Great Lakes Valley Conference,
Limestone College,Saints,Gaffney,South Carolina,Conference Carolinas,
Lincoln Memorial University,Railsplitters,Harrogate,Tennessee,South Atlantic Conference,
Lindenwood University,Lions,St. Charles,Missouri,Mid-America Intercollegiate Athletics Association,[g]
Lock Haven University of Pennsylvania,Bald Eagles,Lock Haven,Pennsylvania,Pennsylvania State Athletic Conference,
Long Island University–Post,Pioneers,Brookville,New York,East Coast Conference,[h]
Lubbock Christian University,Chaparrals,Lubbock,Texas,Heartland Conference,[c]
Lynn University,Fighting Knights,Boca Raton,Florida,Sunshine State Conference,
Malone University,Pioneers,Canton,Ohio,Great Midwest Athletic Conference,
Mars Hill University,Lions,Mars Hill,North Carolina,South Atlantic Conference,
University of Mary,Marauders,Bismarck,North Dakota,Great Northwest Athletic Conference,[i]
Maryville University,Saints,St. Louis,Missouri,Great Lakes Valley Conference,
McKendree University,Bearcats,Lebanon,Illinois,Great Lakes Valley Conference,
Mercy College,Mavericks,Dobbs Ferry,New York,East Coast Conference,
Mercyhurst University,Lakers,Erie,Pennsylvania,Pennsylvania State Athletic Conference,
Merrimack College,Warriors,North Andover,Massachusetts,Northeast-10 Conference,[j]
Metropolitan State University of Denver,Roadrunners,Denver,Colorado,Rocky Mountain Athletic Conference,
Midwestern State University,Mustangs,Wichita Falls,Texas,Heartland Conference,[k][f]
Millersville University of Pennsylvania,Marauders,Millersville,Pennsylvania,Pennsylvania State Athletic Conference,
Mississippi College,Choctaws,Clinton,Mississippi,Gulf South Conference,
Missouri University of Science and Technology,Miners,Rolla,Missouri,Great Lakes Valley Conference,
University of Missouri–St. Louis,Tritons,St. Louis,Missouri,Great Lakes Valley Conference,
Molloy College,Lions,Rockville Centre,New York,East Coast Conference,
Montana State University Billings,Yellowjackets,Billings,Montana,Great Northwest Athletic Conference,
University of Montevallo,Falcons,Montevallo,Alabama,Gulf South Conference,
University of Mount Olive,Trojans,Mount Olive,North Carolina,Conference Carolinas,
University of New Haven,Chargers,West Haven,Connecticut,Northeast-10 Conference,
New York Institute of Technology,Bears,Old Westbury,New York,East Coast Conference,
Newberry College,Wolves,Newberry,South Carolina,South Atlantic Conference,
Newman University,Jets,Wichita,Kansas,Heartland Conference,[l]
University of North Georgia,Nighthawks,Dahlonega,Georgia,Peach Belt Conference,
North Greenville University,Crusaders,Tigerville,South Carolina,Conference Carolinas,
Northeastern State University,RiverHawks,Tahlequah,Oklahoma,Mid-America Intercollegiate Athletics Association,
Northern Michigan University,Wildcats,Marquette,Michigan,Great Lakes Intercollegiate Athletic Conference,
Northwest Nazarene University,Crusaders,Nampa,Idaho,Great Northwest Athletic Conference,
Northwood University,Timberwolves,Midland,Michigan,Great Lakes Intercollegiate Athletic Conference,
Notre Dame College,Falcons,South Euclid,Ohio,Mountain East Conference,
Notre Dame de Namur University,Argonauts,Belmont,California,Pacific West Conference,
Nova Southeastern University,Sharks,Davie,Florida,Sunshine State Conference,
Nyack College,Warriors,Nyack,New York,Central Atlantic Collegiate Conference,
Oakland City University,Mighty Oaks,Oakland City,Indiana,Independent,
Ohio Dominican University,Panthers,Columbus,Ohio,Great Midwest Athletic Conference,
Ohio Valley University,Fighting Scots,Vienna,West Virginia,Great Midwest Athletic Conference,
Oklahoma Baptist University,Bison,Shawnee,Oklahoma,Great American Conference,
Oklahoma Christian University,Eagles,Oklahoma City,Oklahoma,Heartland Conference,[c]
Ouachita Baptist University,Tigers,Arkadelphia,Arkansas,Great American Conference,
Palm Beach Atlantic University,Sailfish,West Palm Beach,Florida,Sunshine State Conference,
University of Pittsburgh at Johnstown,Mountain Cats,Johnstown,Pennsylvania,Pennsylvania State Athletic Conference,
Point Loma Nazarene University,Sea Lions,San Diego,California,Pacific West Conference,
Post University,Eagles,Waterbury,Connecticut,Central Atlantic Collegiate Conference,
